strDrink,Ingredients,Measure,strInstructions
Texas Sling,"['Kahlua', 'Irish cream', 'Amaretto', '151 proof rum', 'Cream']","['1/2 oz ', '1/2 oz ', '1/2 oz ', '1/2 oz Bacardi ', '1 oz ']","Blend with Ice until smooth. Serve in a tulip glass, top with whip cream."
Thai Coffee,"['Coffee', 'Coriander', 'Cardamom', 'Sugar', 'Whipping cream', 'Ice']","['6 tblsp ground', '1/4 tsp ', '4-5 whole green ', nan, nan, nan]","Place the coffee and spices in the filter cone of your coffee maker. Brew coffee as usual, let it cool. In a tall glass, dissolve 1 or 2 teaspoons of sugar in an ounce of the coffee (it's easier to dissolve than if you put it right over ice). Add 5-6 ice cubes and pour coffee to within about 1 inch of the top of the glass. Rest a spoon on top of the coffee and slowly pour whipping cream into the spoon. This will make the cream float on top of the coffee rather than dispersing into it right away."
Thai Iced Tea,"['Tea', 'Water', 'Condensed milk', 'Ice', 'Mint']","['1/4 cup Thai ', '1/2 cup boiling ', '2 tsp sweetened ', ' cubes\n', ' ']","Combine Thai tea (i.e., the powder), boiling water, and sweetened condensed milk, stir until blended. Pour into 2 tall glasses filled with ice cubes. Garnish with mint leaves. Makes 2 servings."
The Evil Blue Thing,"['Creme de Cacao', 'Blue Curacao', 'Light rum']","['1 1/2 oz ', '1 oz ', '1/2 oz ']","Pour ingredients into glass, and drop in a blue whale! The blue whale isn't really necessary, but it makes the drink more ""fun""."
Thriller,"['Scotch', 'Wine', 'Orange juice']","['1 1/2 oz ', '1 oz Green Ginger ', '1 oz ']","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Tia-Maria,"['Water', 'Brown sugar', 'Coffee', 'Rum', 'Vanilla extract']","['1 cup ', '3/4-1 cup ', '4 tsp ', '1 cup ', '4 tsp ']","Boil water, sugar and coffe for 10 mins and let cool. Add rum and vanilla. Put in clean bottle(s) and leave for 1 week before using."
Tom Collins,"['Gin', 'Lemon juice', 'Sugar', 'Club soda', 'Maraschino cherry', 'Orange']","['2 oz ', '1 oz ', '1 tsp superfine ', '3 oz ', '1 ', '1 ']","In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice."
Tomato Tang,"['Tomato juice', 'Lemon juice', 'Celery salt']","['2 cups ', '1-2 tblsp ', '1 dash ']","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
Tommy's Margarita,"['Tequila', 'Lime Juice', 'Agave syrup']","['4.5 cl', '1.5 cl', '2 spoons']",Shake and strain into a chilled cocktail glass.
Turf Cocktail,"['Dry Vermouth', 'Gin', 'Anis', 'Bitters', 'Orange peel']","['1 oz ', '1 oz ', '1/4 tsp ', '2 dashes ', 'Twist of ']",Stir all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.
