strDrink,Ingredients,Measure,strInstructions
Big Red,"['Irish cream', 'Goldschlager']","['1/2 oz ', '1/2 oz ']",Pour ingredients into 1 ounce shot glass
Black & Tan,"['Ale', 'Guinness stout']","['1 part Bass pale ', '1 part ']",Fill pint glass half full with Bass. Next pour Guiness over a spoon slowly until glass is full. If done correctly the Guiness will stay on top and the Bass on bottom hence the name Black & Tan.
Black Russian,"['Coffee liqueur', 'Vodka']","['3/4 oz ', '1 1/2 oz ']",Pour the ingredients into an old fashioned glass filled with ice cubes. Stir gently.
Black and Brown,"['Guinness stout', 'Root beer']","['1/2 ', '1/2 ']",CAREFULLY to avoid explosive head formation: Pour Beer glass half full of favorite rootbeer and top off with Guinness.
Blackthorn,"['Sweet Vermouth', 'Sloe gin', 'Lemon peel']","['1 oz ', '1 1/2 oz ', '1 twist of ']",Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.
Bleeding Surgeon,"['Dark rum', 'Orange', 'Surge', 'Cranberry juice']","['1 shot ', '1 slice ', '1/2 glass ', '1/2 glass ']","Pour Shot of Rum over slice of orange. Fill the remaining space in glass half way full of surge or similar drink. Finish off glass with cranberry juice. Be carefull, warm surge may foam over the glass."
Blind Russian,"[""Bailey's irish cream"", 'Godiva liqueur', 'Kahlua', 'Butterscotch schnapps', 'Milk']","['3/4 oz ', '3/4 oz ', '3/4 oz ', '1/2 oz ', ' to fill\n']",Fill glass with ice. Add all liquers. Add milk. shake.
Bloody Maria,"['Tequila', 'Tomato juice', 'Lemon juice', 'Tabasco sauce', 'Celery salt', 'Lemon']","['1 oz ', '2 oz ', '1 dash ', '1 dash ', '1 dash ', '1 slice ']",Shake all ingredients (except lemon slice) with cracked ice and strain into an old-fashioned glass over ice cubes. Add the slice of lemon and serve.
Bloody Mary,"['Vodka', 'Tomato juice', 'Lemon juice', 'Worcestershire sauce', 'Tabasco sauce', 'Lime']","['1 1/2 oz ', '3 oz ', '1 dash ', '1/2 tsp ', '2-3 drops ', '1 wedge ']","Stirring gently, pour all ingredients into highball glass. Garnish."
Blue Margarita,"['Tequila', 'Blue Curacao', 'Lime juice', 'Salt']","['1 1/2 oz ', '1 oz ', '1 oz ', 'Coarse ']","Rub rim of cocktail glass with lime juice. Dip rim in coarse salt. Shake tequila, blue curacao, and lime juice with ice, strain into the salt-rimmed glass, and serve."
Blue Mountain,"['Añejo rum', 'Tia maria', 'Vodka', 'Orange juice', 'Lemon juice']","['1 1/2 oz ', '1/2 oz ', '1/2 oz ', '1 oz ', '1 tsp ']","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass alomst filled with ice cubes."
Bluebird,"['Gin', 'Triple sec', 'Blue Curacao', 'Bitters', 'Maraschino cherry', 'Lemon peel']","['1 1/2 oz ', '1/2 oz ', '1/2 oz ', '2 dashes ', '1 ', '1 twist of ']","In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry."
Bob Marley,"['Midori melon liqueur', 'Jägermeister', 'Goldschlager']","['1/2 oz ', '1/2 oz ', '1/2 oz ']",Layer in a 2 oz shot glass or pony glass
Bobby Burns Cocktail,"['Sweet Vermouth', 'Scotch', 'Benedictine', 'Lemon peel']","['1 1/2 oz ', '1 1/2 oz ', '1 1/4 tsp ', '1 twist of ']",Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.
Boomerang,"['Gin', 'Dry Vermouth', 'Bitters', 'Maraschino liqueur', 'Maraschino cherry']","['2 oz ', '1/2 oz ', '2 dashes ', '1/2 tsp ', '1 ']","In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry."
Boozy Snickers Milkshake,"['Vanilla Ice-Cream', 'Milk', 'Godiva liqueur', 'Whipped Cream', 'caramel sauce', 'chocolate sauce', 'Mini-snickers bars']","['3 cups ', '1 cup ', '1/2 cup ', 'for topping', '4 tablespoons\r\n', '4 tablespoons\r\n', '15\r\n']","Place the snickers bars in a plastic bag and roll over them with a rolling pin until crushed. Add crushed snickers pieces, ice cream, milk, caramel sauce, chocolate sauce, and chocolate liquor to a blender. Blend until shake is thick and frothy. Pour into glasses and top with chocolate liquor and whip cream."
Bora Bora,"['Pineapple juice', 'Passion fruit juice', 'Lemon juice', 'Grenadine']","['10 cl ', '6 cl ', '1 cl ', '1 cl ']","Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry."
Boston Sidecar,"['Light rum', 'Brandy', 'Triple sec', 'Lime']","['3/4 oz ', '3/4 oz ', '3/4 oz ', 'Juice of 1/2 ']","Shake all ingredients with ice, strain into a cocktail glass, and serve."
Boston Sour,"['Blended whiskey', 'Lemon', 'Powdered sugar', 'Egg white', 'Lemon', 'Cherry']","['2 oz ', 'Juice of 1/2 ', '1 tsp ', '1 ', '1 slice ', '1 ']","Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve."
Bourbon Sling,"['Sugar', 'Water', 'Lemon juice', 'Bourbon', 'Lemon peel']","['1 tsp superfine ', '2 tsp ', '1 oz ', '2 oz ', '1 twist of ']","In a shaker half-filled with ice cubes, combine the sugar, water, lemon juice, and bourbon. Shake well. Strain well. Strain into a highball glass. Garnish with the lemon twist."
Bourbon Sour,"['Bourbon', 'Lemon juice', 'Sugar', 'Orange', 'Maraschino cherry']","['2 oz ', '1 oz ', '1/2 tsp superfine ', '1 ', '1 ']","In a shaker half-filled with ice cubes, combine the bourbon, lemon juice, and sugar. Shake well. Strain into a whiskey sour glass, garnish with the orange slice and cherry."
Boxcar,"['Gin', 'Triple sec', 'Lemon juice', 'Grenadine', 'Egg white']","['1 1/2 oz ', '1 oz ', '1 tsp ', '1/2 tsp ', '1 ']","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass."
Brain Fart,"['Everclear', 'Vodka', 'Mountain Dew', 'Surge', 'Lemon juice', 'Rum']","['1 fifth ', '1 fifth Smirnoff red label ', '2 L ', '2 L ', '1 small bottle ', '1 pint ']",Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.
Brainteaser,"['Sambuca', 'Erin Cream', 'Advocaat']","['30 ml white ', '30 ml ', '5 ml ']","layered erin first, then sambuca and then avocart(should sit in middle of other two. To drink: use a straw to suck up avocart then shot the rest and then suck fumes up through straw."
Bramble,"['Gin', 'lemon juice', 'Sugar syrup', 'Creme de Mure']","['4 cl', '1.5 cl', '1 cl', '1.5 cl']","Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice."
Brandon and Will's Coke Float,"['Vanilla ice-cream', 'Coca-Cola', 'Bourbon']","['2 scoops ', '1 can ', '2 oz ']","Scoop two large scoops of vanilla ice-cream into frosted beer mug. Next, add 2 ounces Maker's Mark. Then, pour in coke. Gently stir and enjoy."
Brandy Cobbler,"['Sugar', 'Club soda', 'Lemon', 'Brandy', 'Maraschino cherry', 'Orange']","['1 tsp superfine ', '3 oz ', '1 ', '2 oz ', '1 ', '1 ']","In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the brandy. Stir well. Garnish with the cherry and the orange and lemon slices."
Brandy Flip,"['Brandy', 'Egg', 'Sugar', 'Light cream', 'Nutmeg']","['2 oz ', '1 whole ', '1 tsp superfine ', '1/2 oz ', '1/8 tsp grated ']","In a shaker half-filled with ice cubes, combine the brandy, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg."
Brandy Sour,"['Brandy', 'Lemon', 'Powdered sugar', 'Lemon', 'Cherry']","['2 oz ', 'Juice of 1/2 ', '1/2 tsp ', '1/2 slice ', '1 ']","Shake brandy, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with the lemon slice, top with the cherry, and serve."
Brave Bull Shooter,"['Tequila', 'Tabasco sauce']","['1/2 oz ', '1/2 oz ']",Pour Tabasco into bottom of shot glass and fill with tequila.
Bruised Heart,"['Vodka', 'Chambord raspberry liqueur', 'Peachtree schnapps', 'Cranberry juice']","['1/2 oz ', '1/2 oz ', '1/2 oz ', '1/2 oz ']","Pour all ingredients in a mixing tin over ice, stir, and strain into shot glass"
Bubble Gum,"['Vodka', 'Banana liqueur', 'Orange juice', 'Peach schnapps']","['1/4 ', '1/4 ', '1/4 ', '1/4 ']",Layer in order into a shot glass.
Buccaneer,"['Corona', 'Bacardi Limon']","['1 ', '1 shot ']",Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently
Bumble Bee #1,"[""Bailey's irish cream"", 'Kahlua', 'Sambuca']","['1/3 oz ', '1/3 oz ', '1/3 oz ']","This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!"
Butter Baby,"['Vanilla Ice-Cream', 'Butterscotch schnapps', 'Milk', 'Vodka']","['2 scoops ', '1 part ', 'full glass ', '2 parts ']",Blend together in a blender. Serve in a chilled Beer mug with Fresh Blueberries and caramel for topping.
Caipirinha,"['Sugar', 'Lime', 'Cachaca']","['2 tsp', '1 ', '2 1/2 oz ']",Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.
Caipirissima,"['Lime', 'Sugar', 'White rum', 'Ice']","['2 ', '2 tblsp ', '2-3 oz ', 'crushed ']",Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!
California Root Beer,"['Kahlua', 'Galliano', 'Soda water']","['3/4 oz ', '3/4 oz ', 'Fill with ']",Put Kahlua and Galliano in highball glass fill with soda
Campari Beer,"['Lager', 'Campari']","['1 bottle ', '1 1/2 cl ']",Use a 15 oz glass. Add Campari first. Fill with beer.
Caribbean Boilermaker,"['Corona', 'Light rum']","['1 bottle ', '1 shot ']",Pour the Corona into an 18oz beer glass pour the rum into the beer.
Caribbean Orange Liqueur,"['Orange', 'Vodka', 'Sugar']","['3 large ', '3 cups ', '1 1/3 cup superfine ']","Pare very thinly the bright-colored rind from the oranges (no white). Blot the peel on paper towels to remove any excess oil. Put peel in a 4 cup screw-top jar. Add 2 cups vodka. Close jar. Store in a cool, dark place for 2 days or until the vodka has absorbed the flavor. Remove peel and add remaining vodka. Close jar and add remaining cup of vodka. Close the jar and store in a cool dark place at least 1 month to age."
Casino,"['Gin', 'Maraschino liqueur', 'Lemon juice', 'Orange bitters', 'Cherry']","['2 oz ', '1/4 tsp ', '1/4 tsp ', '2 dashes ', '1 ']",Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.
Casino Royale,"['Gin', 'Lemon juice', 'Maraschino liqueur', 'Orange bitters', 'Egg yolk']","['2 oz ', '1/2 oz ', '1 tsp ', '1 dash ', '1 ']","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass."
Castillian Hot Chocolate,"['Cocoa powder', 'Sugar', 'Cornstarch', 'Water', 'Milk']","['1/2 cup ', '1 cup ', '7 tsp ', '1/2 cup ', '1 qt ']","Shift the cocoa and sugar together into a medium-sized saucepan. Dissolve the cornstarch in the water, and stir into the cocoa and sugar until it is a smooth paste. Begin heating the mixture, stirring it with a whisk, and gradually pour in the milk. Continue stirring with the whisk as you bring the liquid to a simmer. Allow the chocolate to simmer for about 10 minutes, stirring often, until it is thick, glossy and completely smooth. Serve steaming hot in coffee mug. Serves six."
Champagne Cocktail,"['Champagne', 'Sugar', 'Bitters', 'Lemon peel', 'Cognac']","['Chilled ', '1 piece ', '2 dashes ', '1 twist of ', '1 dash']",Add dash of Angostura bitter onto sugar cube and drop it into champagne flute. Add cognac followed by gently pouring chilled champagne. Garnish with orange slice and maraschino cherry.
Cherry Electric Lemonade,"['Gin', 'Tequila', 'Vodka', 'White rum', 'Triple Sec', 'Cherry Grenadine', 'Sweet and sour', 'Club soda']","['1 oz', '1 oz', '1 oz', '1 oz', '1 oz', '1 oz', '1 oz', '3 oz']",Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.
Cherry Rum,"['Light rum', 'Cherry brandy', 'Light cream']","['1 1/4 oz ', '1 1/2 tsp ', '1 tblsp ']","Shake all ingredients with ice, strain into a cocktail glass, and serve."
Chocolate Beverage,"['Milk', 'Chocolate', 'Cinnamon', 'Egg']","['6 cups ', '3 oz Mexican ', '1 tsp powdered ', '3 ']","Boil milk in the top of a deep double boiler five minutes. Remove from fire and add chocolate, mixed with the cinnamon, a little at a time, beating with molinillo or egg beater after each addition. When the chocolate is thoroughly blended, heat to the boiling point. Place over bottom of double boiler and add eggs, whipping constantly, until they are thoroughly blended and the mixture is frothing. Serve in coffee mug. Serves eight."
Chocolate Black Russian,"['Kahlua', 'Vodka', 'Chocolate ice-cream']","['1 oz ', '1/2 oz ', '5 oz ']",Combine all ingredients in an electric blender and blend at a low speed for a short length of time. Pour into a chilled champagne flute and serve.
Chocolate Drink,"['Chocolate', 'Milk', 'Water']","['125 gr', '3/4 L ', nan]","Melt the bar in a small amount of boiling water. Add milk. Cook over low heat, whipping gently (with a whisk, i would assume) until heated well. Don't let it boil! Serve in coffee mug."
Chocolate Milk,"['Chocolate liqueur', 'Milk', 'Amaretto']","['1/2 shot ', '1/2 shot ', '1 dash ']","Put the milk in the bottom, pour the Liquer on top and add the dash of amaretto. Do not mix. SLAM IT!"
Chocolate Monkey,"['Banana liqueur', 'Creme de Cacao', 'Chocolate ice-cream', 'Chocolate syrup', 'Chocolate milk', 'Whipped cream', 'Cherry', 'Banana']","['1 shot ', '2 shots ', '2 scoops ', '1 oz ', '4 oz ', '1 ', '1 ', '1 piece ']","blend liqeuors with ice-cream, milk and syrup. pour into parfait glass, top with whipped cream and garnish with banana and cherry."
Citrus Coke,"['Bacardi Limon', 'Coca-Cola']","['1 part ', '2 parts ']",Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!
City Slicker,"['Brandy', 'Triple sec', 'Lemon juice']","['2 oz ', '1/2 oz ', '1 tblsp ']","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Classic Old-Fashioned,"['Bitters', 'Water', 'Sugar', 'Bourbon', 'Orange', 'Maraschino cherry']","['3 dashes ', '1 tsp ', '1 ', '3 oz ', '1 ', '1 ']","In an old-fashioned glass, muddle the bitters and water into the sugar cube, using the back of a teaspoon. Almost fill the glass with ice cubes and add the bourbon. Garnish with the orange slice and the cherry. Serve with a swizzle stick."
Clove Cocktail,"['Sweet Vermouth', 'Sloe gin', 'Wine']","['1 oz ', '1/2 oz ', '1/2 oz Muscatel ']","Stir all ingredients with ice, strain into a cocktail glass, and serve."
Clover Club,"['Gin', 'Grenadine', 'Lemon', 'Egg white']","['1 1/2 oz ', '2 tsp ', 'Juice of 1/2 ', '1 ']","Dry shake ingredients to emulsify, add ice, shake and served straight up."
Coffee Liqueur,"['Coffee', 'Vanilla extract', 'Sugar', 'Vodka', 'Water']","['10 tblsp instant ', '4 tblsp ', '2 1/2 cups ', '1 qt ', '2 1/2 cups ']","Combine coffee, sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks."
Coke and Drops,"['Coca-Cola', 'Lemon juice']","['1 dl ', '7 drops ']","Take a glass, pour the Coke in the glass, then you take 7 drops of lemon juice. Granish with a lemon slice on the rim of the glass."
Cosmopolitan,"['Absolut Citron', 'Lime juice', 'Cointreau', 'Cranberry juice']","['1 1/4 oz ', '1/4 oz ', '1/4 oz ', '1/4 cup ']",Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.
Cosmopolitan Martini,"['Cointreau', 'Vodka', 'Lime', 'Cranberry juice']","['1/2 oz ', '1 oz ', 'Juice of 1/2 ', '1 splash ']","Pour all ingredients in mixing glass half filled with ice, shake and strain into chilled Martini glass."
Cranberry Cordial,"['Cranberries', 'Sugar', 'Light rum']","['1/2 kg chopped ', '3/4 L ', '1/2 L ']","Place the chopped cranberries in a 2 liter jar that has a tight-fitting lid. Add the sugar and rum. Adjust the lid securely and place the jar in a cool, dark place. Invert the jar and shake it every day for six weeks. Strain the cordial into bottles and seal with corks."
Cranberry Punch,"['Cranberry juice', 'Sugar', 'Pineapple juice', 'Almond flavoring', 'Ginger ale']","['4 cups ', '1 1/2 cup ', '4 cups ', '1 tblsp ', '2 qt ']","Combine first four ingredients. Stir until sugar is dissolved, chill. Then add ginger ale just before serving. Add ice ring to keep punch cold."
Creme de Menthe,"['Sugar', 'Water', 'Grain alcohol', 'Peppermint extract', 'Food coloring']","['8 cups ', '6 cups ', '1 pint ', '1 oz pure ', '1 tblsp green ']",Bring sugar and water to a boil and simmer for 10 minutes. Cool. Add the remaining ingredients and stir. Cover and let ripen for 1 month.
Cuba Libre,"['Light rum', 'Lime', 'Coca-Cola']","['2 oz ', 'Juice of 1/2 ', nan]",Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.
Daiquiri,"['Light rum', 'Lime', 'Powdered sugar']","['1 1/2 oz ', 'Juice of 1/2 ', '1 tsp ']",Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.
Damned if you do,"['Whiskey', 'Hot Damn']","['0.75 oz ', '0.25 oz ']",Pour into shot glass. Put in mouth. Repeat as deemed necessary.
Danbooka,"['Coffee', 'Everclear']","['3 parts ', '1 part ']",pour it in and mix it.
Dark Caipirinha,"['demerara Sugar', 'Lime', 'Cachaca']","['2 tsp ', '1', '2 1/2 oz']","Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well."
Dark and Stormy,"['Dark Rum', 'Ginger Beer']","['5 cl', '10 cl']",In a highball glass filled with ice add 6cl dark rum and top with ginger beer. Garnish with lime wedge.
Darkwood Sling,"['Cherry Heering', 'Soda water', 'Orange juice', 'Ice']","['1 part ', '1 part ', '1 part ', ' cubes\n']","There are many good cherry liqueurs you can use, but I prefere Heering. Add one share of the liqueur. Then you add one share of Soda. For a sour sling use Tonic (most people prefer the drink without Tonic). Afterwards you fill the glass with Orange Juice and ice cubes."
Derby,"['gin', 'Peach Bitters', 'Mint']","['6 cl', '2 dashes', '2 Fresh leaves']",Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.
Diesel,"['Lager', 'Cider', 'Blackcurrant cordial']","['1/2 pint ', '1/2 pint ', '1 dash ']",Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.
Dirty Martini,"['Vodka', 'Dry Vermouth', 'Olive Brine', 'Lemon', 'Olive']","['70ml/2fl oz', '1 tbsp', '2 tbsp', '1 wedge', '1']","Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive."
Downshift,"['Fruit punch', 'Sprite', 'Tequila', '151 proof rum']","['2 part ', '1 part ', '2 shots ', 'Float Bacardi ']","Start with the Sprite. Next comes the tequila. After that, add the Minute Maid Fruit Punch, then float the 151. Rocks optional."
Dragonfly,"['Gin', 'Ginger ale', 'Lime']","['1 1/2 oz ', '4 oz ', '1 ']","In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge."
Drinking Chocolate,"['Heavy cream', 'Milk', 'Cinnamon', 'Vanilla', 'Chocolate', 'Whipped cream']","['2 oz ', '6-8 oz ', '1 stick ', '1 ', '2 oz finely chopped dark ', 'Fresh ']","Heat the cream and milk with the cinnamon and vanilla bean very slowly for 15-20 minutes. (If you don't have any beans add 1-2 tsp of vanilla after heating). Remove the bean and cinnamon. Add the chocolate. Mix until fully melted. Serve topped with some very dense fresh whipped cream. Serves 1-2 depending upon how much of a glutton you are. For a richer chocolate, use 4 oz of milk, 4 oz of cream, 4 oz of chocolate. Serve in coffee mug."
Dry Rob Roy,"['Scotch', 'Dry Vermouth', 'Lemon peel']","['2 1/2 oz ', '1 1/2 tsp ', '1 twist of ']","In a mixing glass half-filled with ice cubes, combine the Scotch and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist."
Dubonnet Cocktail,"['Dubonnet Rouge', 'Gin', 'Bitters', 'Lemon peel']","['1 1/2 oz ', '3/4 oz ', '1 dash ', '1 twist of ']",Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.
Duchamp's Punch,"['Pisco', 'Lime Juice', 'Pineapple Syrup', 'St. Germain', 'Angostura Bitters', 'Pepper', 'Lavender']","['5 cl', '2.5 cl', '2.5 cl', '1.5 cl', '2 Dashes', 'Pinch', '2 sprigs']","Shake all ingredients.
Double strain in a chilled double old fashioned glass with abig ice cube.
Garnish with a couple of lavender sprigs"
Egg Cream,"['Chocolate syrup', 'Milk', 'Soda water']","['2 tblsp ', '6 oz whole ', '6 oz ']","Mix syrup and milk in a fountain glass. Add soda water, serve with a straw."
Egg Nog #4,"['Egg yolk', 'Sugar', 'Milk', 'Light rum', 'Bourbon', 'Vanilla extract', 'Salt', 'Whipping cream', 'Egg white', 'Sugar', 'Nutmeg']","['6 ', '1/4 cup ', '2 cups ', '1/2 cup ', '1/2 cup ', '1 tsp ', '1/4 tsp ', '1 cup ', '6 ', '1/4 cup ', 'Ground ']","In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups."
Egg-Nog - Classic Cooked,"['Egg', 'Sugar', 'Salt', 'Milk', 'Vanilla extract']","['6 ', '1/4 cup ', '1/4 tsp ', '1 qt ', '1 tsp ']","In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and regfigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately."
English Rose Cocktail,"['Apricot brandy', 'Gin', 'Dry Vermouth', 'Grenadine', 'Lemon juice', 'Cherry']","['3/4 oz ', '1 1/2 oz ', '3/4 oz ', '1 tsp ', '1/4 tsp ', '1 ']",Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.
Espresso Martini,"['Vodka', 'Kahlua', 'Sugar syrup']","['5 cl', '1 cl', '1 dash']","Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass"
Fahrenheit 5000,"['Firewater', 'Absolut Peppar', 'Tabasco sauce']","['1/2 oz ', '1/2 oz ', '1 dash ']",Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.
Flaming Dr. Pepper,"['Amaretto', 'Vodka', '151 proof rum', 'Dr. Pepper', 'Beer']","['1 oz ', '1 oz ', '1 oz Bacardi ', '1 oz ', '1 oz ']","Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer"
Flaming Lamborghini,"['Kahlua', 'Sambuca', 'Blue Curacao', ""Bailey's irish cream""]","['1 oz ', '1 oz ', '1 oz ', '1 oz ']","Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!"
Flander's Flake-Out,"['Sambuca', 'Sarsaparilla']","['1/4 glass ', '3/4 glass ']",Bang 'em both in.
Flying Dutchman,"['Gin', 'Triple sec']","['2 oz ', '1/2 oz ']","In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well."
Flying Scotchman,"['Scotch', 'Sweet Vermouth', 'Bitters', 'Sugar syrup']","['1 oz ', '1 oz ', '1 dash ', '1/4 tsp ']","Shake all ingredients with ice, strain into a cocktail glass, and serve."
Foxy Lady,"['Amaretto', 'Creme de Cacao', 'Light cream']","['1/2 oz ', '1/2 oz ', '2 oz ']","Shake all ingredients with ice, strain into a chilled cocktail glass, and serve."
Frappé,"['Coffee', 'Milk', 'Sugar']","['1/2 cup black ', '1/2 cup ', '1-2 tsp ']","Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing."
Freddy Kruger,"['Jägermeister', 'Sambuca', 'Vodka']","['1/2 oz ', '1/2 oz ', '1/2 oz ']",make it an ample size shot!!
"French ""75""","['Gin', 'Sugar', 'Lemon juice', 'Champagne', 'Orange', 'Maraschino cherry']","['1 1/2 oz ', '2 tsp superfine ', '1 1/2 oz ', '4 oz Chilled ', '1 ', '1 ']","In a shaker half-filled with ice cubes, combine the gin, sugar, and lemon juice. Shake well. Pour into a collins glass. Top with the Champagne. Stir well and garnish with the orange slice and the cherry."
French 75,"['Gin', 'Sugar', 'Lemon juice', 'Champagne', 'Orange', 'Maraschino cherry']","['1 1/2 oz ', '2 tsp superfine ', '1 1/2 oz ', '4 oz Chilled ', '1 ', '1 ']","Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently."
French Connection,"['Cognac', 'Amaretto']","['1 1/2 oz ', '3/4 oz ']",Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.
French Martini,"['Vodka', 'Raspberry Liqueur', 'pineapple juice']","['4.5 cl', '1.5 cl', '1.5 cl']",Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.
Frisco Sour,"['Blended whiskey', 'Benedictine', 'Lemon', 'Lime', 'Lemon', 'Lime']","['2 oz ', '1/2 oz ', 'Juice of 1/4 ', 'Juice of 1/2 ', '1 slice ', '1 slice ']",Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.
Frozen Daiquiri,"['Light rum', 'Triple sec', 'Lime juice', 'Sugar', 'Cherry', 'Ice']","['1 1/2 oz ', '1 tblsp ', '1 1/2 oz ', '1 tsp ', '1 ', '1 cup crushed ']","Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve."
